index,tollbooth_name,way,highway,km,tdpa,motorbike,car,car-axle,bus,truck-2axle,truck-3axle,truck-4axle,truck-5axle,truck-6axle,truck-7axle,truck-8axle,truck-9axle,not_classified_vehicle,vta,jan,feb,mar,apr,may,jun,jul,ago,sep,oct,nov,dec
061-01,estación ruíz,yago-rosa morada,mex-015d,52.81,5341,0.7,42.8,0.4,5.9,3.6,4.9,1.9,26.9,2.7,0.6,0.1,7.7,1.8,1949511,8.8,7.3,8.1,9.3,8.0,7.7,8.7,8.5,7.4,7.8,8.2,10.2
061-02,estación ruíz,ruiz-rosa morada,mex-015d,52.81,428,4.0,65.1,0.4,5.5,4.4,4.1,0.5,3.3,2.3,0.0,0.0,0.4,10.0,156250,10.7,9.2,8.4,8.7,7.9,7.2,7.6,7.7,7.3,7.4,8.0,9.9
061-03,estación ruíz,yago-ruíz,mex-015d,52.81,433,5.6,63.4,0.3,4.8,3.7,3.4,0.4,2.7,1.8,0.0,0.0,0.4,13.5,158074,8.1,9.4,8.4,8.6,7.8,7.6,7.9,8.0,7.6,7.9,8.3,10.4
062-01,acaponeta,acaponeta-escuinapa,mex-015d,73.4,177,0.1,44.0,0.3,10.9,10.1,10.3,1.0,9.7,4.3,0.3,0.2,8.8,0.0,64729,7.2,6.6,8.0,8.3,8.3,8.4,8.6,9.1,8.8,7.4,9.2,10.1
062-02,acaponeta,rosa morada-escuinapa,mex-015d,73.4,4524,0.8,38.6,0.7,5.5,3.9,4.8,2.1,29.9,2.7,0.7,0.1,9.0,1.2,1651315,8.9,7.3,8.1,9.2,7.9,7.7,8.8,8.5,7.3,7.8,8.2,10.3
062-03,acaponeta,rosa morada-acaponeta,mex-015d,73.4,463,0.8,61.6,0.7,3.0,2.2,4.1,0.3,3.0,0.4,0.0,0.0,0.3,23.6,168839,8.9,6.9,7.4,9.8,8.6,8.3,9.0,8.5,6.9,6.5,7.7,11.5
063-01,rosario,escuinapa-villa unión,mex-015d,199.486,5233,0.7,39.7,0.6,6.5,3.3,4.3,2.0,29.2,2.8,0.6,0.1,8.3,1.9,1910103,8.8,7.3,8.1,9.1,8.0,7.8,8.8,8.5,7.3,7.8,8.1,10.4
063-02,rosario,escuinapa-rosario,mex-015d,199.486,115,1.3,62.2,0.7,12.5,8.7,9.2,0.7,3.6,1.0,0.0,0.0,0.1,0.0,41945,9.5,6.7,8.6,9.8,8.3,7.0,9.3,9.3,7.9,7.2,8.1,8.3
063-03,rosario,rosario-villa uníón,mex-015d,199.486,791,0.6,58.3,0.4,20.6,3.5,2.7,0.4,4.6,0.4,0.0,0.0,0.4,8.1,288849,8.3,7.8,8.4,8.7,8.6,8.1,8.8,8.5,7.9,8.4,8.1,8.4
064,villa ahumada,el sueco-villa ahumada,mex-045,219.0,7676,0.2,61.8,2.2,3.8,3.2,1.6,1.0,19.8,1.4,0.4,0.1,3.7,0.8,2801633,8.1,6.6,7.8,8.3,7.9,7.8,9.4,8.7,7.9,8.3,8.6,10.6
