strech_id,tollbooth_id,tollbooth_name,motorbike,car,car-axle,bus-2axle,bus-3axle,bus-4axle,truck-2axle,truck-3axle,truck-4axle,truck-5axle,truck-6axle,truck-7axle,truck-8axle,truck-9axle,load-axle,toll_ref,motorbike-axle,car-rush-hour,car-evening-hour,pedestrian,valid_from
806,,AMEALCO I - APASEO EL GRANDE,64,128,64,272,272,272,272,272,347,459,517,681,681,681,136,pase,,,,,
807,,HUIMILPAN - APASEO EL GRANDE,48,97,48,201,201,201,201,201,276,348,406,512,512,512,101,pase,,,,,
809,,APASEO EL ALTO -APASEO EL GRANDE,23,47,23,90,90,90,90,90,165,173,231,243,243,243,45,pase,,,,,
810,,PALMILLAS - APASEO EL ALTO,51,102,51,228,228,228,228,228,228,358,358,549,549,549,114,pase,,,,,
811,,AMEALCO I - APASEO EL ALTO,40,81,40,182,182,182,182,182,182,285,285,438,438,438,91,pase,,,,,
812,,HUIMILPAN - APASEO EL ALTO,25,50,25,112,112,112,112,112,112,175,175,269,269,269,56,pase,,,,,
813,,APASEO EL GRANDE - APASEO EL ALTO,23,47,23,90,90,90,90,90,165,173,231,243,243,243,45,pase,,,,,
815,,QUERETARO - APASEO EL ALTO,4,7,4,15,15,15,15,15,15,23,23,35,35,35,7,pase,,,,,
822,,APASEO EL GRANDE - HUIMILPAN,48,97,48,201,201,201,201,201,276,348,406,512,512,512,101,pase,,,,,
824,,QUERETARO - HUIMILPAN,28,57,28,126,126,126,126,126,126,198,198,304,304,304,63,pase,,,,,
825,,PALMILLAS - HUIMILPAN,26,52,26,116,116,116,116,116,116,183,183,280,280,280,58,pase,,,,,
826,,APASEO EL ALTO - HUIMILPAN,25,50,25,112,112,112,112,112,112,175,175,269,269,269,56,pase,,,,,
823,,AMEALCO I - HUIMILPAN,15,31,15,70,70,70,70,70,70,110,110,169,169,169,35,pase,,,,,
828,,APASEO EL GRANDE - AMEALCO I,64,128,64,272,272,272,272,272,347,459,517,681,681,681,136,pase,,,,,
829,,QUERETARO - AMEALCO I,44,88,44,197,197,197,197,197,197,309,309,473,473,473,98,pase,,,,,
830,,APASEO EL ALTO - AMEALCO I,40,81,40,182,182,182,182,182,182,285,285,438,438,438,91,pase,,,,,
832,,HUIMILPAN - AMEALCO I,15,31,15,70,70,70,70,70,70,110,110,169,169,169,35,pase,,,,,
833,,PALMILLAS - AMEALCO I,10,21,10,46,46,46,46,46,46,73,73,111,111,111,23,pase,,,,,
848,,LOGISTIK-SAN FELIPE,36,71,77,122,122,122,122,122,122,129,129,129,129,129,77,pase,,,,,
849,,LOGISTIK-SAN LUIS POTOSÍ,5,9,5,19,19,19,19,19,19,21,21,21,21,21,5,pase,,,,,
850,,LOGISTIK-VILLA DE ARRIAGA,75,149,77,262,262,262,262,262,262,283,283,283,283,283,77,pase,,,,,
,,LOGISTIK-VILLA DE REYES,27,53,77,93,93,93,93,93,93,100,100,100,100,100,77,pase,,,,,
851,,LOGISTIK-WTC,6,12,6,22,22,22,22,22,22,24,24,24,24,24,6,pase,,,,,
853,,SAN FELIPE-LOGISTIK,36,71,77,122,122,122,122,122,122,129,129,129,129,129,77,pase,,,,,
854,,SAN FELIPE-SAN LUIS POTOSÍ,42,83,77,141,141,141,141,141,141,150,150,150,150,150,77,pase,,,,,
855,,SAN FELIPE-VILLA DE ARRIAGA,54,107,77,196,196,196,196,196,196,215,215,215,215,215,77,pase,,,,,
,,SAN FELIPE-VILLA DE REYES,8,15,7,27,27,27,27,27,27,30,30,30,30,30,7,pase,,,,,
856,,SAN FELIPE-WTC,29,58,77,99,99,99,99,99,99,105,105,105,105,105,77,pase,,,,,
857,,SAN LUIS POTOSÍ-LOGISTIK,5,9,5,19,19,19,19,19,19,21,21,21,21,21,5,pase,,,,,
858,,SAN LUIS POTOSÍ-SAN FELIPE,42,83,77,141,141,141,141,141,141,150,150,150,150,150,77,pase,,,,,
859,,SAN LUIS POTOSÍ-VILLA DE ARRIAGA,80,159,77,281,281,281,281,281,281,303,303,303,303,303,77,pase,,,,,
,,SAN LUIS POTOSÍ-VILLA DE REYES,34,68,77,113,113,113,113,113,113,119,119,119,119,119,77,pase,,,,,
860,,SAN LUIS POTOSÍ-WTC,12,24,13,49,49,49,49,49,49,52,52,52,52,52,13,pase,,,,,
861,,VILLA DE ARRIAGA-LOGISTIK,75,149,77,262,262,262,262,262,262,283,283,283,283,283,77,pase,,,,,
862,,VILLA DE ARRIAGA-SAN FELIPE,54,107,77,196,196,196,196,196,196,215,215,215,215,215,77,pase,,,,,
863,,VILLA DE ARRIAGA-SAN LUIS POTOSÍ,80,159,77,281,281,281,281,281,281,303,303,303,303,303,77,pase,,,,,
