"tollbooth_id","legacy_id","tollbooth_name","lat","lng","status","state","place","lines","type","manage","gate_to","anti_evation_sys","in_out"
232,700,"lomas verdes",19.5193210442269,-99.2863218131053,"open","edomx","entronque",4,"ticket","capufe",,,
233,700,"lomas verdes",19.5190530243437,-99.2863513046133,"open","edomx","entronque",6,"toll","capufe",,,
234,136,"madin",19.5482167838784,-99.2769325700177,"open","edomx","entronque",4,"ticket","capufe",,,
235,136,"madin",19.5452317965648,-99.2775302971408,"open","edomx","entronque",3,"ticket","capufe",,,
236,136,"madin",19.5476758750535,-99.277978631478,"open","edomx","entronque",3,"toll","capufe",,,
237,136,"madin",19.5448561237424,-99.2769206196619,"open","edomx","entronque",5,"toll","capufe",,,
238,934,"marquesa t2",19.2905813679219,-99.4344414140522,"open","edomx","troncal",5,"toll","pinfra",,,
239,572,"mexico-pachuca",19.5159170273964,-99.1030875275007,"open","edomx","troncal",4,"toll","anesa",,,
240,489,"monumento",19.4013505510476,-100.112264987303,"open","edomx","troncal",5,"toll","acomex",,0,
241,939,"nabor carrillo",19.495983167883,-98.9472240168867,"open","edomx","troncal",4,"toll","ecatepec-piramides",,0,
242,939,"nabor carrillo",19.4959325993907,-98.9473795849938,"open","edomx","troncal",3,"toll","ecatepec-piramides",,0,
244,135,"nopala",19.4871287263989,-99.3100891102143,"open","edomx","entronque",2,"ticket","capufe",,,
245,135,"nopala",19.4874575191213,-99.3110182157513,"open","edomx","entronque",2,"ticket","capufe",,,
246,135,"nopala",19.4882148178064,-99.3110353684686,"open","edomx","entronque",2,"toll","capufe",,,
247,135,"nopala",19.4862580684472,-99.3114811703218,"open","edomx","entronque",2,"ticket","capufe",,,
248,135,"nopala",19.4873631934039,-99.3098546897097,"open","edomx","entronque",2,"toll","capufe",,,
249,196,"ozumba",19.0460461082194,-98.8283386202082,"open","edomx","troncal",5,"toll","capufe","bypass",,
250,913,"peñon",19.4585991884125,-99.0337245623198,"open","edomx","troncal",9,"toll","desarrollo-global",,0,
251,70,"polotitlan",20.2264940558826,-99.8106991185484,"open","edomx","entronque",1,"toll","capufe",,0,
252,1031,"puente de vigas",19.5161435835187,-99.2079068928162,"open","edomx","troncal",6,"toll","anesa",,,
253,440,"queretaro-arco norte",19.9978731259507,-99.492063312003,"open","edomx","entronque",1,"toll","arconorte",,,"in"
